location,city,state,city_primary,audience_segment,creative_size,creative_messaging,state_raw,app_url,exchange,device_make,impressions,clicks,viewable_impressions,measurable_impressions,total_conversions,gross_cost
"Tallahassee, Florida-Thomasville, Georgia",Tallahassee,Florida,Tallahassee,Telecommunications (Telco)>Subscribers,320x50,Sign up Today - 10% Off,"Florida-Thomasville, Georgia",dailydot.com,Google Ad Manager,Smartphone,29393,70,3277,25959,19,2120.757698
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Finance>Banking>ATMs and Branch Locations,320x50,Subscribe Today - 10% Discount,California,dailyhodl.com,Xandr - Monetize SSP (AppNexus),Smartphone,39212,260,31317,37660,1,3621.417703
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Intent>Travel>Accommodation>Hotels,300x50,10% Discount - Ends 6/1,Tennessee,dailymail.co.uk/news,Google Ad Manager,Smartphone,14137,44,9300,13110,8,6345.460338
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Home and Garden>Homemaking and Interior Decor,300x250,10% Discount - Ends 6/1,California,dailymail.co.uk/news,Google Ad Manager,Smartphone,7921,50,4727,6513,11,5379.00144
"San Francisco, California",San Francisco,California,San Francisco,US>Sociodemographic>P$YCLE Premier Lifestage>M2 Wealthy Achievers,320x50,10% Discount - Ends 6/1,California,dailymail.co.uk/tvshowbiz,Google Ad Manager,Smartphone,11025,50,7974,10311,4,1657.159766
"Ft. Wayne, Indiana",Ft. Wayne,Indiana,Ft. Wayne,US>Brand Propensities>Health>Beauty and Cosmetics>Bare Escentuals Buyer Propensity,300x250,10% Discount - Ends 6/1,Indiana,dailymail.co.uk/tvshowbiz,PubMatic,Smartphone,14922,99,10713,13992,5,1578.876432
"Tampa-St Petersburg (Sarasota), Florida",Tampa-St Petersburg (Sarasota),Florida,Tampa,Mobile>US>Device Ownership>Smartphones>Huawei,300x250,Sign up Now - 10% Off,Florida,dailymail.co.uk/tvshowbiz,Google Ad Manager,Smartphone,7427,0,4752,6566,1,1504.784161
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Internet and Telecom>Email and Messaging,320x50,Subscribe Today - 10% Discount,Florida,dexerto.com,OpenX,Smartphone,14553,47,6119,12505,11,6968.00047
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Travel>Car Rental and Taxi Services,300x50,Subscribe Today - 10% Discount,California,dictionary.com,PubMatic,Smartphone,10350,66,723,8720,14,6774.202636
"New York City, New York",New York City,New York,New York City,Mobile>US>Food>Restaurant>Style>Desserts,300x250,Sign up Today - 10% Off,New York,dictionary.com,BidSwitch,Apple PC,18028,89,1851,14926,24,1572.24171
"Los Angeles, California",Los Angeles,California,Los Angeles,US>AUTO>Primary Vehicle>New or Used>New,300x250,Sign up Today - 10% Off,California,dinneratthezoo.com,Google Ad Manager,Smartphone,12391,40,5756,11636,4,3069.123483
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,US>B2B>B2B Decision Maker Responsibilities>Advertising Services,320x50,Sign up Now - 10% Off,Michigan,dmv.org,BidSwitch,Smartphone,14917,10,3065,13109,3,1583.537104
"San Francisco, California",San Francisco,California,San Francisco,Online Behavior>United States>Intent>Travel>Cruises,300x50,Subscribe Today - 10% Discount,California,doctoreport.com,Index Exchange,Smartphone,9560,98,3076,6252,17,6420.218123
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,US>B2B>B2B Decision Maker Responsibilities>Accounting or Tax Services,320x50,Sign up Today - 10% Off,Florida,doodle.com,Google Ad Manager,Smartphone,12606,74,8332,11170,5,2002.537989
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Beauty and Fitness>Cosmetology and Beauty Professionals,320x50,Subscribe Today - 10% Discount,New York,dotesports.com,Xandr - Monetize SSP (AppNexus),Smartphone,18022,30,10618,16643,15,4051.158749
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Finance>Insurance>Life Insurance,320x50,Subscribe Today - 10% Discount,California,drugs.com,Magnite DV+,Smartphone,18401,66,11051,17202,26,6571.491552
"Ft. Wayne, Indiana",Ft. Wayne,Indiana,Ft. Wayne,Online Behavior>United States>Food and Drink>Food and Grocery Retailers,320x50,Subscribe Today - 10% Discount,Indiana,drugs.com,Google Ad Manager,Smartphone,18412,140,5668,16711,12,5244.34174
"San Francisco, California",San Francisco,California,San Francisco,Online Behavior>United States>Intent>Shopping>Drug Stores>CVS,300x250,Sign up Now - 10% Off,California,drugs.com,BidSwitch,Smartphone,11697,64,6761,10783,3,5218.070231
"San Francisco, California",San Francisco,California,San Francisco,US>Composite Segment>Women Born to Shop,320x50,Subscribe Today - 10% Discount,California,drugs.com,Magnite DV+,Smartphone,12220,54,7133,11331,3,1478.392247
"Los Angeles, California",Los Angeles,California,Los Angeles,Real Estate>Rent Amount>Sensible Rentals ($1000-$3000),300x250,10% Discount - Ends 6/1,California,drugs.com,Smart RTB+ (Smartadserver),Windows PC,49415,144,24692,45565,3,1471.175728
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Finance>Credit and Lending>Loans,300x250,Subscribe Today - 10% Discount,Illinois,ebay.com,Google Ad Manager,Smartphone,1100942,2984,629973,1041225,147,7979.348589
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Finance>Banking>Money Transfer and Wire Services,320x50,Subscribe Today - 10% Discount,New York,ebay.com,Google Ad Manager,Smartphone,221720,499,35178,196583,69,7890.221963
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Travel>Tourist Destinations,300x250,Sign up Now - 10% Off,New York,ebay.com,Google Ad Manager,Smartphone,325152,854,138319,300133,55,7887.6126619999995
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Finance>Investing>Stocks and Bonds,320x50,Subscribe Today - 10% Discount,Florida,ebay.com,Yahoo Exchange,Smartphone,680912,2000,388915,648524,39,7814.262494
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Life Event>New Parent,300x250,10% Discount - Ends 6/1,Tennessee,ebay.com,Xandr - Monetize SSP (AppNexus),Smartphone,569171,1354,343050,541133,78,7129.633287
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Hobbies and Leisure>Outdoors>Hiking and Camping,300x250,10% Discount - Ends 6/1,Illinois,ebay.com,Magnite DV+,Apple PC,27592,80,10901,24980,17,6809.356022
"Savannah, Georgia",Savannah,Georgia,Savannah,Online Behavior>United States>Intent>Financial Intent>Loans and Credit,320x50,Sign up Now - 10% Off,Georgia,ebay.com,Yieldmo,Smartphone,83957,185,1420,69246,19,6651.51451
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Real Estate>Homeowner,300x250,10% Discount - Ends 6/1,New York,ebay.com,Google Ad Manager,Smartphone,161178,492,70181,150003,11,5892.48218
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Arts and Entertainment>Events and Listings>Film Festivals,320x50,Sign up Now - 10% Off,California,ebay.com,Google Ad Manager,Smartphone,405957,874,204189,385654,16,5864.126493
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Travel>Cruises and Charters,300x250,Sign up Now - 10% Off,California,ebay.com,Magnite DV+,Apple PC,161222,500,66740,149743,19,5767.797381
"San Francisco, California",San Francisco,California,San Francisco,Online Behavior>United States>B2B>Occupation>Student,300x250,10% Discount - Ends 6/1,California,ebay.com,Google Ad Manager,Windows PC,39163,113,16254,36526,15,5692.765813
"San Francisco, California",San Francisco,California,San Francisco,Online Behavior>United States>Online Communities>File Sharing and Hosting,320x50,Sign up Today - 10% Off,California,ebay.com,Index Exchange,Smartphone,39794,101,17539,37664,12,5328.524514
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,Online Behavior>United States>Autos and Vehicles>Brands>LandRover,300x250,Sign up Now - 10% Off,Florida,ebay.com,Google Ad Manager,Apple PC,104538,347,49049,97093,2,5266.424233
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Food and Drink>Food and Grocery Delivery,300x250,Sign up Now - 10% Off,Illinois,ebay.com,Google Ad Manager,Smartphone,262807,684,109871,236426,12,5150.468923
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Sports>Sports League>NHL,300x250,Sign up Now - 10% Off,Illinois,ebay.com,Index Exchange,Smartphone,56945,152,20750,50714,9,5144.474371
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Sports>Water Sports>Surfing,300x250,Sign up Today - 10% Off,Tennessee,ebay.com,Google Ad Manager,Smartphone,23983,0,464,19802,9,4574.34827
"Chicago, Illinois",Chicago,Illinois,Chicago,US>AUTO>Decision Maker for Auto Purchase>I shared equally in the decision,320x50,Sign up Today - 10% Off,Illinois,ebay.com,Google Ad Manager,Smartphone,102884,299,42841,96539,6,2015.448331
"Los Angeles, California",Los Angeles,California,Los Angeles,US>B2B>B2B Decision Maker Responsibilities>Office Supplies or Equipment,300x250,Sign up Today - 10% Off,California,ebay.com,Google Ad Manager,Windows PC,55692,184,3596,51209,9,1981.050288
"Los Angeles, California",Los Angeles,California,Los Angeles,US>Reach>Propensity Models>Hobbies and Interest>Pets>Cat Owners,300x250,Sign up Today - 10% Off,California,ebay.com,BidSwitch,Apple PC,63460,212,26978,59516,4,1945.433188
"Tallahassee, Florida-Thomasville, Georgia",Tallahassee,Florida,Tallahassee,OnAudience>Interest>Life Stage,300x250,10% Discount - Ends 6/1,"Florida-Thomasville, Georgia",ebay.com,Google Ad Manager,Smartphone,189462,478,53431,163634,5,1625.17488
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,US>Interest Propensities>Activities and Interests>Fashion,300x250,Sign up Now - 10% Off,Florida,ebay.com,PubMatic,Windows PC,61442,190,17048,54166,1,1609.149933
"Chicago, Illinois",Chicago,Illinois,Chicago,Mobile>US>Travel>Car Rentals>Hertz,320x50,Sign up Today - 10% Off,Illinois,ebay.com,BidSwitch,Smartphone,87287,203,40039,80040,18,1579.367346
"Los Angeles, California",Los Angeles,California,Los Angeles,OnAudience>Interest>Arts & Entertainment>Celebrity Fan>Gossip,300x250,Subscribe Today - 10% Discount,California,ebay.com,BidSwitch,Smartphone,77703,204,33478,72874,3,1566.912406
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,Mobile>US>Device Ownership>Smartphones>ZTE,300x250,10% Discount - Ends 6/1,Florida,ebay.com,BidSwitch,Windows PC,74436,175,30158,69150,21,1558.549138
"Nashville, Tennessee",Nashville,Tennessee,Nashville,US>Brand Propensities>Health>Beauty and Cosmetics>SkinCareRx Buyer Propensity,300x250,10% Discount - Ends 6/1,Tennessee,ebay.com,Yahoo Exchange,Smartphone,435848,1058,274912,415601,15,1554.439959
"Chicago, Illinois",Chicago,Illinois,Chicago,Mobile>US>Food>Restaurant>Brand>Five Guys,300x250,10% Discount - Ends 6/1,Illinois,ebay.com,BidSwitch,Smartphone,9210,80,3798,8619,2,1536.629068
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Brand Propensities>Health>Beauty and Cosmetics>Mary Kay Buyer Propensity,320x50,Sign up Now - 10% Off,Illinois,ebay.com,Magnite DV+,Smartphone,12088,88,1124,10003,2,1500.026152
"Chicago, Illinois",Chicago,Illinois,Chicago,"US Financial>Estimated Discretionary Spending>Greater than $2,500",320x50,Sign up Now - 10% Off,Illinois,ebay.com,Google Ad Manager,Smartphone,126337,325,51394,117635,5,1487.088288
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Interest Propensities>Insurance>Northwestern Mutual,300x250,Sign up Today - 10% Off,Illinois,ebay.com,GumGum,Smartphone,229908,489,98259,212073,4,1464.348944
"Los Angeles, California",Los Angeles,California,Los Angeles,Transactional>Q2 Graduation Gift Shoppers,300x250,Sign up Today - 10% Off,California,ebay.com,Index Exchange,Smartphone,144088,490,26416,137369,7,1464.064235
"Grand Rapids-Kalamazoo, Michigan",Grand Rapids-Kalamazoo,Michigan,Grand Rapids,OnAudience>Intent>Auto>Vehicle Parts & Accessories,320x50,Subscribe Today - 10% Discount,Michigan,ebay.com,BidSwitch,Smartphone,37269,106,11667,33260,6,1453.075462
"Los Angeles, California",Los Angeles,California,Los Angeles,Lotame>Offline CPG>General Purchasers>Product Segment>Home Supplies,300x250,Sign up Today - 10% Off,California,ebay.com,PubMatic,Smartphone,13326,98,3568,11388,2,1442.032183
"New York City, New York",New York City,New York,New York City,Media and Entertainment>Consumer Entertainment Technology,300x250,Sign up Now - 10% Off,New York,editorsnation.com,Google Ad Manager,Smartphone,10942,66,4578,9155,3,1595.752624
"South Bend-Elkhart, Indiana",South Bend-Elkhart,Indiana,South Bend,Online Behavior>United States>Autos and Vehicles>Brands>Cadillac,320x50,Subscribe Today - 10% Discount,Indiana,eenadu.net,Google Ad Manager,Smartphone,14011,40,5060,12459,5,5632.087973
"San Francisco, California",San Francisco,California,San Francisco,Lotame>Travel>International Travel,300x250,10% Discount - Ends 6/1,California,eonline.com,Google Ad Manager,Smartphone,13464,84,1698,11234,1,1466.285104
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 35-44,300x250,Sign up Now - 10% Off,Florida,espn.com,PubMatic,Smartphone,121991,369,43079,99312,4,3993.214585
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>B2B>Occupation>SystemsAnalyst,320x50,Sign up Now - 10% Off,Illinois,espn.com,Google Ad Manager,Smartphone,95289,199,19527,82800,5,3223.535948
"Chicago, Illinois",Chicago,Illinois,Chicago,OnAudience>Interest>Personal Finance,320x50,Subscribe Today - 10% Discount,Illinois,essentiallysports.com,Google Ad Manager,Smartphone,80408,199,13127,67027,9,1788.111618
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Mobile>US>Demographics>Education>Lowest Education Achievement,320x50,10% Discount - Ends 6/1,Florida,essentiallysports.com,BidSwitch,Smartphone,82916,199,24951,77333,12,1584.821247
"San Francisco, California",San Francisco,California,San Francisco,Mobile>US>Food>Restaurant>Brand>Buffalo Wild Wings,300x250,Subscribe Today - 10% Discount,California,evite.com,Google Ad Manager,Windows PC,16354,40,8061,15667,4,1610.319977
"Chicago, Illinois",Chicago,Illinois,Chicago,US Interest>Cooking>General,320x50,Sign up Now - 10% Off,Illinois,ew.com,Xandr - Monetize SSP (AppNexus),Smartphone,9920,20,6702,9096,10,1453.11439
"Orlando-Daytona Beach, Florida",Orlando-Daytona Beach,Florida,Orlando,Travel and Tourism>Interest (Affinity)>Destinations>Latin America,320x50,10% Discount - Ends 6/1,Florida,factable.com,Magnite DV+,Smartphone,31243,100,16326,25991,21,1452.59056
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Intent>Shopping>Consumer Electronics>Video Game Consoles,300x250,10% Discount - Ends 6/1,Illinois,factinate.com,Magnite DV+,Apple PC,39314,100,27671,35488,8,5530.800458
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Intent>Auto Buyers>Category>Motorcycle,320x50,10% Discount - Ends 6/1,California,fandom.com,Xandr - Monetize SSP (AppNexus),Smartphone,15252,55,2152,3482,7,6211.200147
"Savannah, Georgia",Savannah,Georgia,Savannah,US Financial>Credit Card Type>Credit Card Holder>Unknown Type,300x50,10% Discount - Ends 6/1,Georgia,fandom.com,Google Ad Manager,Smartphone,7394,20,3441,6663,1,1624.840774
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,US>Brand Propensities>Travel>Booking.com Buyer Propensity,320x50,Subscribe Today - 10% Discount,Florida,fandom.com,Google Ad Manager,Smartphone,22259,120,12405,17609,14,1611.340211
"Peoria-Bloomington, Illinois",Peoria-Bloomington,Illinois,Peoria,"US Financial>Estimated Disposable Income>$0>$99,999",300x250,Subscribe Today - 10% Discount,Illinois,fandom.com,OpenX,Windows PC,21143,56,3798,19588,3,1500.41822
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Autos and Vehicles>Boats and Watercraft,320x50,Subscribe Today - 10% Discount,Illinois,fandomwire.com,OpenX,Smartphone,111624,590,40343,101306,21,6510.446656
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Beauty and Fitness>Fitness>Yoga and Pilates,300x250,10% Discount - Ends 6/1,New York,fandomwire.com,PubMatic,Windows PC,95644,240,13294,86775,9,5587.763675
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Reach>Propensity Models>Hobbies and Interest>Sports>Fitness Enthusiasts,300x250,10% Discount - Ends 6/1,Illinois,fandomwire.com,Google Ad Manager,Windows PC,65238,240,23741,59893,15,3132.519209
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>News>Technology News,300x50,10% Discount - Ends 6/1,Florida,femanin.com,BidSwitch,Smartphone,115412,490,71564,81785,21,6861.53638
"Chicago, Illinois",Chicago,Illinois,Chicago,OnAudience>Interest>Sports,300x250,Sign up Now - 10% Off,Illinois,femanin.com,Google Ad Manager,Smartphone,11375,87,7171,8151,4,1763.784061
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Travel>Air Travel,300x250,Sign up Now - 10% Off,Illinois,finance.yahoo.com,Google Ad Manager,Windows PC,27394,74,16144,24752,78,7264.58761
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Beauty and Fitness>Body Art,320x50,10% Discount - Ends 6/1,Tennessee,finance.yahoo.com,Google Ad Manager,Smartphone,22690,68,10212,19934,19,7210.686506
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Home and Garden>Home Improvement,320x50,10% Discount - Ends 6/1,New York,finance.yahoo.com,Magnite DV+,Smartphone,76049,199,34921,69138,8,6942.800458
"Knoxville, Tennessee",Knoxville,Tennessee,Knoxville,Online Behavior>United States>News>Business News,320x50,Subscribe Today - 10% Discount,Tennessee,finance.yahoo.com,OpenX,Smartphone,44505,125,18993,39522,16,6766.475368
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Intent>Auto Buyers>Car Make>Opel,300x250,Subscribe Today - 10% Discount,New York,finance.yahoo.com,Google Ad Manager,Smartphone,286998,815,61586,247500,13,6395.550624
"San Francisco, California",San Francisco,California,San Francisco,Online Behavior>United States>The Changing Consumer>Active Facebook Users,300x250,Sign up Today - 10% Off,California,finance.yahoo.com,Google Ad Manager,Windows PC,127090,299,30178,113438,24,5808.911254
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Validated Demographic>Gender and Age Combined>Females 65 or older,320x50,Sign up Today - 10% Off,Illinois,finance.yahoo.com,Google Ad Manager,Smartphone,232470,504,40870,195447,36,5401.365085
"San Francisco, California",San Francisco,California,San Francisco,US>B2B>B2B Decision Maker Responsibilities>Computer Hardware,320x50,10% Discount - Ends 6/1,California,finance.yahoo.com,Sovrn,Smartphone,51056,120,24672,45563,4,2215.631845
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,US>Brand Propensities>Media and Entertainment>Regal Cinemas Buyer Propensity,320x50,10% Discount - Ends 6/1,Florida,finance.yahoo.com,Google Ad Manager,Smartphone,52582,140,22065,46126,10,1631.741712
"Chicago, Illinois",Chicago,Illinois,Chicago,US>Premium Entertainment and Pastimes>Premium Magazine Enthusiasts,300x250,Subscribe Today - 10% Discount,Illinois,finance.yahoo.com,PubMatic,Smartphone,109567,345,57620,97903,5,1616.714722
"Orlando-Daytona Beach, Florida",Orlando-Daytona Beach,Florida,Orlando,Mobile>US>Device Ownership>Smartphones>iOS (Apple)>iPhone X,300x250,Sign up Now - 10% Off,Florida,finance.yahoo.com,Taboola,Windows PC,74426,150,39257,67151,15,1519.596552
"New York City, New York",New York City,New York,New York City,Mobile>US>Device Ownership>Smartphones>iOS (Apple)>iPhone 11,320x50,10% Discount - Ends 6/1,New York,finance.yahoo.com,Google Ad Manager,Smartphone,22163,55,2368,8130,3,1493.779328
"Los Angeles, California",Los Angeles,California,Los Angeles,Online Behavior>United States>Games>Family-Oriented Games and Activities,300x250,Sign up Now - 10% Off,California,findagrave.com,BidSwitch,Windows PC,25021,50,11084,18079,9,4961.478884
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Intent>Shopping>Sports and Outdoors,320x50,Subscribe Today - 10% Discount,New York,findagrave.com,Magnite DV+,Smartphone,26304,75,12354,17500,11,4727.813916
"New York City, New York",New York City,New York,New York City,US>Reach>Propensity Models>Lifestyle>Loyalty Programs>Loyalty Card User,300x250,Sign up Today - 10% Off,New York,findagrave.com,PubMatic,Smartphone,13100,80,6507,10895,5,3411.590029
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Intent>Shopping>Consumer Electronics>Tablets,320x50,Subscribe Today - 10% Discount,Tennessee,finviz.com,Google Ad Manager,Smartphone,9533,66,6548,9042,16,5574.543505
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,Online Behavior>United States>Intent>Auto Buyers>Car Make>BMW,300x250,Sign up Today - 10% Off,Florida,firstcoastnews.com,BidSwitch,Smartphone,12092,30,2042,10315,8,6245.134793
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Travel>Tourist Destinations>Lakes and Rivers,300x250,Subscribe Today - 10% Discount,Illinois,flightaware.com,Index Exchange,Smartphone,12710,10,8159,11984,11,7851.397478
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Online Communities>Social Networks,320x50,10% Discount - Ends 6/1,Illinois,flightaware.com,Google Ad Manager,Smartphone,9463,56,1518,8191,4,6879.601707
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Online Communities>Photo and Video Sharing,300x250,Subscribe Today - 10% Discount,Illinois,flightaware.com,PubMatic,Smartphone,12136,97,2089,11500,3,5224.932463
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Internet and Telecom>Mobile and Wireless,320x50,Sign up Now - 10% Off,Tennessee,forbes.com,Google Ad Manager,Smartphone,15326,68,7941,14331,8,6943.515824
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Beauty and Fitness>Fashion and Style>Fashion Modeling,320x50,Sign up Now - 10% Off,Illinois,forbes.com,Google Ad Manager,Smartphone,18095,50,10021,16755,24,6768.758768
"Miami-Ft. Lauderdale, Florida",Miami-Ft. Lauderdale,Florida,Miami,Online Behavior>United States>Games>Educational Games,300x50,Sign up Today - 10% Off,Florida,forbes.com,Google Ad Manager,Smartphone,119280,400,55665,112913,23,6492.676343
"South Bend-Elkhart, Indiana",South Bend-Elkhart,Indiana,South Bend,Online Behavior>United States>Sports>Motor Sports,320x50,Sign up Now - 10% Off,Indiana,forbes.com,BidSwitch,Smartphone,8204,20,1348,7832,1,5973.379892
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,Online Behavior>United States>Autos and Vehicles>Brands>BMW,300x50,Sign up Now - 10% Off,Florida,forbes.com,TripleLift,Smartphone,88022,370,45972,83922,11,5669.14476
"New York City, New York",New York City,New York,New York City,Online Behavior>United States>Food and Drink>Beverages>Bottled Water,320x50,Sign up Now - 10% Off,New York,forbes.com,Google Ad Manager,Smartphone,12879,71,7225,12173,9,5099.28249
"Nashville, Tennessee",Nashville,Tennessee,Nashville,US>Reach>Sociodemographic>Age>45-49,300x250,Subscribe Today - 10% Discount,Tennessee,forbes.com,Google Ad Manager,Windows PC,69239,160,23112,65390,1,4514.952724
"Lafayette, Indiana",Lafayette,Indiana,Lafayette,Real Estate>Sale Activity>Just Sold,320x50,Sign up Now - 10% Off,Indiana,forbes.com,Google Ad Manager,Smartphone,111884,220,53017,106432,7,1786.105122
"New York City, New York",New York City,New York,New York City,US>Sociodemographic>ConneXions Lifestage>F1 Early Adopting Elite,320x50,Sign up Today - 10% Off,New York,forbes.com,Google Ad Manager,Smartphone,20899,20,11394,19576,19,1649.459852
"Augusta, Georgia",Augusta,Georgia,Augusta,OnAudience>Interest>Arts & Entertainment>Television,300x250,10% Discount - Ends 6/1,Georgia,forbes.com,Google Ad Manager,Windows PC,22800,79,8298,21161,24,1620.1655
"New York City, New York",New York City,New York,New York City,US Interest>Consumer Electronics,320x50,Sign up Now - 10% Off,New York,forbes.com,Google Ad Manager,Smartphone,15441,48,7626,14456,19,1614.309013
"New York City, New York",New York City,New York,New York City,US>Interest Propensities>Insurance>Unitedhealth Group,320x50,Sign up Today - 10% Off,New York,forbes.com,Google Ad Manager,Smartphone,33069,140,17744,31192,14,1543.310611
"Jacksonville, Florida",Jacksonville,Florida,Jacksonville,US>B2B>B2B Decision Maker Responsibilities>Marketing or Market Research,320x50,Sign up Now - 10% Off,Florida,fortune.com,Google Ad Manager,Smartphone,54134,155,37418,51299,4,1502.01775
"Knoxville, Tennessee",Knoxville,Tennessee,Knoxville,Online Behavior>United States>Arts and Entertainment>Comics and Animation,300x250,Subscribe Today - 10% Discount,Tennessee,fox59.com,Google Ad Manager,Smartphone,7583,45,4608,5881,1,5033.482578
"Nashville, Tennessee",Nashville,Tennessee,Nashville,US>Interest Propensities>Insurance>Aetna Group,300x250,10% Discount - Ends 6/1,Tennessee,foxbusiness.com,Google Ad Manager,Apple PC,12436,84,7055,11497,9,1720.870126
"Chicago, Illinois",Chicago,Illinois,Chicago,Online Behavior>United States>Finance>Insurance>Insurance,320x50,Sign up Now - 10% Off,Illinois,foxnews.com,Magnite DV+,Smartphone,122086,299,82898,116235,16,7663.695294
"Tampa-St Petersburg (Sarasota), Florida",Tampa-St Petersburg (Sarasota),Florida,Tampa,Online Behavior>United States>Food and Drink>Beverages>Coffee and Tea,320x50,Subscribe Today - 10% Discount,Florida,foxnews.com,BidSwitch,Smartphone,63794,200,46557,60868,9,6832.9400670000005
"Nashville, Tennessee",Nashville,Tennessee,Nashville,Online Behavior>United States>Intent>Auto Buyers>Car Make>Ford,300x250,10% Discount - Ends 6/1,Tennessee,foxnews.com,BidSwitch,Apple PC,29323,88,13822,26934,9,6096.045521
"Ft. Myers-Naples, Florida",Ft. Myers-Naples,Florida,Ft. Myers,Online Behavior>United States>Autos and Vehicles>Brands>Maserati,320x50,Sign up Today - 10% Off,Florida,foxnews.com,BidSwitch,Smartphone,38408,101,23557,35247,7,5343.459431
"Knoxville, Tennessee",Knoxville,Tennessee,Knoxville,US>Reach>Sociodemographic>Homeowner Status>Renter,320x50,Sign up Today - 10% Off,Tennessee,foxnews.com,Google Ad Manager,Smartphone,70134,169,48862,66739,14,2514.868116
"Los Angeles, California",Los Angeles,California,Los Angeles,US>B2B>B2B Decision Maker Responsibilities>HR or Personnel Services,300x250,Sign up Today - 10% Off,California,foxnews.com,Google Ad Manager,Windows PC,51889,174,33879,49382,5,2172.841747
"Tampa-St Petersburg (Sarasota), Florida",Tampa-St Petersburg (Sarasota),Florida,Tampa,US>B2B>B2B Decision Maker Responsibilities>Sales,300x250,Sign up Today - 10% Off,Florida,foxnews.com,Google Ad Manager,Windows PC,19951,81,10511,18132,15,1801.14885
"Chattanooga, Tennessee",Chattanooga,Tennessee,Chattanooga,Mobile>US>Travel>Vacation Rentals>HomeAway,320x50,Sign up Today - 10% Off,Tennessee,foxnews.com,Google Ad Manager,Smartphone,91593,40,51004,82985,18,1731.584862
"West Palm Beach-Ft. Pierce, Florida",West Palm Beach-Ft. Pierce,Florida,West Palm Beach,OnAudience>Interest>News>Local News,300x50,Sign up Now - 10% Off,Florida,foxnews.com,BidSwitch,Smartphone,69722,194,40640,64819,10,1667.655895
